"English Word","POS","Level","Chinese Translation","Example Sentence","Self-Examine Prompt"
"any more","adv.","A2","再；还","I don't want to eat any more.","What don't you want to do any more?"
"anyway","adv.","A2","无论如何","I don't like rain, but anyway, let's go out.","How do you use 'anyway' in conversation?"
"anywhere","adv., pron.","A2","任何地方","You can sit anywhere you like.","Where would you go if you could travel anywhere?"
"app","n.","A2","应用程序","I downloaded a new language learning app.","What app do you use most on your phone?"
"appear","v.","A2","出现；看起来","The sun appeared behind the clouds.","What appears difficult but is actually easy?"
"appearance","n.","A2","外貌；出现","Don't judge people by their appearance.","How important is appearance to you?"
"apply","v.","A2","申请；应用","I want to apply for this job.","What job would you like to apply for?"
"architect","n.","A2","建筑师","The architect designed a beautiful building.","What does an architect need to study?"
"architecture","n.","A2","建筑学","I'm studying architecture at university.","What style of architecture do you prefer?"
"argue","v.","A2","争论","My parents always argue about money.","What do people often argue about?"
"argument","n.","A2","争论；论据","We had an argument about politics.","How do you handle arguments with friends?"
"army","n.","A2","军队","My brother joined the army last year.","What does the army do during peacetime?"
"arrange","v.","A2","安排","I need to arrange a meeting for tomorrow.","What do you need to arrange this week?"
"arrangement","n.","A2","安排","We made arrangements for the party.","What arrangements are needed for a wedding?"
"as","adv., conj.","A2","如同；当...时","As I was walking, I saw my friend.","How do you use 'as' to compare things?"
"asleep","adj.","A2","睡着的","The baby fell asleep in my arms.","What helps you fall asleep quickly?"
"assistant","n., adj.","A2","助手；助理的","She works as an assistant manager.","What does a personal assistant do?"
"athlete","n.","A2","运动员","The athlete trains every day.","What qualities make a good athlete?"
"attack","n., v.","A2","攻击","The dog might attack if it's scared.","How can people protect themselves from attacks?"
"attend","v.","A2","参加；出席","I attend English classes twice a week.","What events do you regularly attend?"
"attention","n., exclam.","A2","注意力","Please pay attention to the instructions.","What gets your attention easily?"
"attractive","adj.","A2","有吸引力的","She's a very attractive person.","What makes someone attractive?"
"audience","n.","A2","观众","The audience clapped loudly.","What type of audience do you prefer to speak to?"
"author","n.","A2","作者","My favorite author wrote this book.","Who is your favorite author and why?"
"available","adj.","A2","可得到的","Are you available for lunch tomorrow?","When are you usually available to meet friends?"
"average","adj., n.","A2","平均的；普通的","The average temperature is 20 degrees.","What is the average age in your class?"
"avoid","v.","A2","避免","I try to avoid eating too much sugar.","What do you try to avoid doing?"
"award","n.","A2","奖项","She won an award for best student.","What award would you like to receive?"
"awful","adj.","A2","糟糕的","The weather was awful yesterday.","What was the most awful experience you've had?"
"back","adj.","A2","后面的；背部的","Please use the back door.","What do you keep in your back pocket?"
"background","n.","A2","背景","Tell me about your educational background.","What background experience do you have?"
"badly","adv.","A2","严重地；糟糕地","He behaved badly at the party.","What happens when someone drives badly?"
"bar","n.","A2","酒吧；条状物","Let's meet at the bar after work.","What do people do in a bar?"
"baseball","n.","A2","棒球","Baseball is popular in America.","Do you know how to play baseball?"
"based","adj.","A2","基于...的","The movie is based on a true story.","What decisions are based on emotions?"
"basketball","n.","A2","篮球","I play basketball every weekend.","What skills do you need for basketball?"
"bean","n.","A2","豆子","I like coffee beans and green beans.","What dishes can you make with beans?"
"bear (animal)","n.","A2","熊","We saw a bear in the forest.","What should you do if you see a bear?"
"beat","v.","A2","打败；敲打","Our team beat the other team 3-1.","What is the best way to beat stress?"
"beef","n.","A2","牛肉","I don't eat beef, only chicken.","How do you like your beef cooked?"
"before","conj., adv.","A2","在...前面","Think before you speak.","What do you always do before going to bed?"
"behave","v.","A2","表现；举止","Children should behave well in public.","How do you behave when you're nervous?"
"behaviour","n.","A2","行为；举止","His behaviour was very strange.","What behaviour do you find annoying?"
"belong","v.","A2","属于","This book belongs to me.","Where do you feel you belong?"
"belt","n.","A2","皮带","I need a new belt for these pants.","What is a belt used for besides holding up pants?"
"benefit","n.","A2","好处；利益","Exercise has many health benefits.","What are the benefits of learning languages?"
"best","adv., n.","A2","最好地；最好的","She sings best in the morning.","When do you perform your best?"
"better","adv.","A2","更好地","I can speak English better now.","What are you getting better at?"
"between","adv.","A2","在中间","The shop is somewhere between here and there.","What comes between work and sleep in your day?"
"billion","number","A2","十亿","A billion people use the internet.","What would you do with a billion dollars?"
"bin","n.","A2","垃圾箱","Please put the rubbish in the bin.","What different types of bins do you have?"
"biology","n.","A2","生物学","I studied biology in high school.","What did you learn in biology class?"
"birth","n.","A2","出生","The birth of their baby was a happy moment.","What do you remember about your birth?"
"biscuit","n.","A2","饼干","I love having biscuits with my tea.","What type of biscuits do you prefer?"
"bit","n.","A2","一点；小块","Can I have a bit of your sandwich?","What would you like just a bit of?"
"blank","adj., n.","A2","空白的","Please fill in the blank spaces.","When do you leave something blank?"
"blood","n.","A2","血液","Blood carries oxygen around the body.","What do you know about blood donation?"
"blow","v.","A2","吹","The wind blows strongly today.","What do you blow to make a wish?"
"board","n.","A2","木板；董事会","Write your name on the board.","What different types of boards do you know?"
"boil","v.","A2","煮沸","Please boil some water for tea.","What do you need to boil before eating?"
"bone","n.","A2","骨头","The dog buried its bone in the garden.","What foods contain a lot of calcium for bones?"
"book","v.","A2","预订","I need to book a table for dinner.","What do you usually need to book in advance?"
"borrow","v.","A2","借用","Can I borrow your pen?","What do you often borrow from friends?"
"boss","n.","A2","老板","My boss is very understanding.","What makes a good boss?"
"bottom","n., adj.","A2","底部","The keys are at the bottom of my bag.","What do you keep at the bottom of your closet?"
"bowl","n.","A2","碗","I ate soup from a big bowl.","What do you eat from a bowl?"
"brain","n.","A2","大脑","Exercise is good for your brain.","What activities are good for the brain?"
"bridge","n.","A2","桥","We walked across the bridge.","What famous bridges do you know?"
"bright","adj.","A2","明亮的；聪明的","The sun is very bright today.","What makes you feel bright and happy?"
"brilliant","adj.","A2","出色的；聪明的","That's a brilliant idea!","What was the most brilliant solution you've seen?"
"broken","adj.","A2","破碎的","My phone screen is broken.","What do you do when something is broken?"
"brush","v., n.","A2","刷；刷子","I brush my hair every morning.","What do you brush besides your teeth?"
"burn","v.","A2","燃烧；烧伤","Be careful not to burn the food.","What safety measures prevent burns in the kitchen?"
"businessman","n.","A2","商人","The businessman travels a lot for work.","What skills does a businessman need?"
"button","n.","A2","按钮；纽扣","Press the red button to start.","What buttons do you press most often?"
"camp","n., v.","A2","营地；露营","We're going to camp in the mountains.","What do you need for camping?"
"camping","n.","A2","露营","Camping is fun but tiring.","What do you like or dislike about camping?"
"can2","n.","A2","罐头","I opened a can of tomatoes.","What foods do you buy in cans?"
"care","n., v.","A2","关心；照顾","I care about my family very much.","Who do you care about most?"
"careful","adj.","A2","小心的","Be careful when crossing the road.","When do you need to be especially careful?"
"carefully","adv.","A2","小心地","Read the instructions carefully.","What do you do carefully to avoid mistakes?"
"carpet","n.","A2","地毯","The carpet in my room is blue.","What are the advantages of having carpets?"
"cartoon","n.","A2","卡通","I used to watch cartoons as a child.","What cartoons did you enjoy as a child?"
"case","n.","A2","情况；箱子","In this case, we should wait.","In what case would you change your plans?"
"cash","n.","A2","现金","I don't have enough cash with me.","When do you prefer to pay with cash?"
"castle","n.","A2","城堡","We visited an old castle in Scotland.","What would you do if you lived in a castle?"
"catch","v.","A2","抓住；赶上","Try to catch the ball!","What do you try to catch in daily life?"
"cause","n., v.","A2","原因；引起","What was the cause of the accident?","What can cause people to feel stressed?"
"celebrate","v.","A2","庆祝","Let's celebrate your birthday!","How do you like to celebrate special occasions?"
"celebrity","n.","A2","名人","The celebrity signed autographs for fans.","What celebrity would you like to meet?"
"certain","adj.","A2","确定的","I'm certain that I locked the door.","What are you certain about in life?"
"certainly","adv.","A2","当然","Can you help me?" "Certainly!"","When do you say 'certainly' instead of 'yes'?"
"chance","n.","A2","机会","This is your chance to succeed.","What chance would you like to have?"
"character","n.","A2","性格；角色","She has a strong character.","What character traits do you admire?"
"charity","n.","A2","慈善","I donate money to charity.","What charity work interests you?"
"chat","v., n.","A2","聊天","Let's chat over coffee.","Who do you enjoy chatting with?"
"check","n.","A2","检查；支票","The doctor did a health check.","What checks do you do before traveling?"
"chef","n.","A2","厨师","The chef prepared a delicious meal.","What skills does a professional chef need?"
"chemistry","n.","A2","化学","I find chemistry very interesting.","What do you remember from chemistry class?"
"chip","n.","A2","薯条；芯片","I love fish and chips.","What types of chips do you enjoy eating?"
"choice","n.","A2","选择","You have a choice between tea or coffee.","What was the most difficult choice you've made?"
"church","n.","A2","教堂","The old church is beautiful.","What role do churches play in communities?"
"cigarette","n.","A2","香烟","Smoking cigarettes is bad for health.","What do you think about cigarette advertising?"
"circle","n., v.","A2","圆圈；围成圈","Draw a circle on the paper.","What things in nature form circles?"
"classical","adj.","A2","古典的","I enjoy listening to classical music.","What classical art forms do you appreciate?"
"clear","adj.","A2","清楚的；晴朗的","The instructions are very clear.","When do you need things to be clear?"
"clearly","adv.","A2","清楚地","She explained the problem clearly.","What do you need to explain clearly to others?"
"clever","adj.","A2","聪明的","That's a very clever solution.","What's the most clever idea you've heard?"
"climate","n.","A2","气候","The climate here is very mild.","How does climate affect daily life?"
"close2","adj.","A2","近的；亲密的","I'm very close to my sister.","Who are you close to in your family?"
"closed","adj.","A2","关闭的","The shop is closed on Sundays.","What places are closed during holidays?"
"clothing","n.","A2","服装","Warm clothing is essential in winter.","What clothing do you need for different seasons?"
"cloud","n.","A2","云","The clouds are very dark today.","What do different cloud shapes remind you of?"
"coach","n.","A2","教练；长途汽车","The football coach trains the team.","What makes a good coach?"
"coast","n.","A2","海岸","We walked along the coast.","What activities can you do on the coast?"
"code","n.","A2","密码；代码","Enter your security code here.","What codes do you use in daily life?"
"colleague","n.","A2","同事","My colleague helped me with the project.","How do you get along with your colleagues?"
"collect","v.","A2","收集","I collect old coins.","What did you collect as a child?"
"column","n.","A2","专栏；柱子","Read the third column of numbers.","What columns do you read in newspapers?"
"comedy","n.","A2","喜剧","I prefer comedy to drama.","What comedy movies make you laugh?"
"comfortable","adj.","A2","舒适的","This chair is very comfortable.","Where do you feel most comfortable?"
"comment","n.","A2","评论","Do you have any comments?","What comments do you make on social media?"
"communicate","v.","A2","交流","It's important to communicate clearly.","How do you prefer to communicate with friends?"
"community","n.","A2","社区","Our community is very friendly.","What makes a strong community?"
"compete","v.","A2","竞争","Athletes compete for medals.","What do you like to compete in?"
"competition","n.","A2","竞赛；竞争","The competition was very tough.","What competition would you like to enter?"
"complain","v.","A2","抱怨","Some customers complain about the service.","What do people often complain about?"
"completely","adv.","A2","完全地","I completely forgot about the meeting.","What have you completely changed your mind about?"
"condition","n.","A2","条件；状况","The car is in good condition.","What conditions are necessary for happiness?"
"conference","n.","A2","会议","I attended a business conference.","What topics are discussed in conferences?"
"connect","v.","A2","连接","Please connect to the WiFi.","What helps you connect with other people?"
"connected","adj.","A2","连接的","Everything is connected to the internet.","How do you stay connected with family?"
"consider","v.","A2","考虑","Please consider my suggestion.","What factors do you consider when making decisions?"
"contain","v.","A2","包含","This box contains old photos.","What does your bag contain right now?"
"context","n.","A2","语境；背景","You need to understand the context.","Why is context important in communication?"
"continent","n.","A2","大陆","Africa is a huge continent.","Which continent would you like to visit?"
"continue","v.","A2","继续","Please continue with your story.","What do you want to continue learning?"
"control","n., v.","A2","控制","You need to control your emotions.","What do you have control over in life?"
"cook","n.","A2","厨师","My mother is an excellent cook.","Who is the best cook you know?"
"cooker","n.","A2","炉灶","The gas cooker isn't working.","What type of cooker do you have at home?"
"copy","n., v.","A2","复制；副本","Make a copy of this document.","What do you need to copy for work or study?"
"corner","n.","A2","角落；拐角","The bank is on the corner.","What do you keep in the corner of your room?"
"correctly","adv.","A2","正确地","Please spell the word correctly.","What do you need to do correctly at work?"
"count","v.","A2","数数；重要","Count from one to ten.","What things do you count in daily life?"
"couple","n.","A2","夫妇；几个","The couple got married last year.","What activities do couples enjoy together?"
"cover","v.","A2","覆盖；涵盖","Snow covers the mountains.","What does your insurance cover?"
"crazy","adj.","A2","疯狂的","That's a crazy idea!","What's the craziest thing you've ever done?"
"creative","adj.","A2","有创造力的","She's a very creative person.","When do you feel most creative?"
"credit","n.","A2","信用；学分","I bought this on credit.","What are the advantages and disadvantages of credit?"
"crime","n.","A2","犯罪","Crime rates are falling.","What crimes are most common in cities?"
"criminal","n.","A2","罪犯","The criminal was caught yesterday.","What makes someone become a criminal?"
"cross","v., n.","A2","穿过；十字","Be careful when you cross the road.","What do you cross every day?"
"crowd","n.","A2","人群","There was a big crowd at the concert.","How do you feel in a crowd?"
"crowded","adj.","A2","拥挤的","The train was very crowded.","Where do you encounter crowded places?"
"cry","v.","A2","哭","The baby started to cry.","What makes you want to cry?"
"cupboard","n.","A2","橱柜","The plates are in the cupboard.","What do you keep in your kitchen cupboard?"
"curly","adj.","A2","卷曲的","She has beautiful curly hair.","Do you prefer straight or curly hair?"
"cycle","n., v.","A2","循环；骑自行车","The water cycle is important.","What cycles do you notice in nature?"
"daily","adj.","A2","日常的","Exercise is part of my daily routine.","What are your daily habits?"
"danger","n.","A2","危险","There's danger in mountain climbing.","What dangers exist in modern life?"
"dark","n.","A2","黑暗","I'm afraid of the dark.","What do you do when it gets dark?"
"data","n.","A2","数据","The data shows interesting results.","What data do companies collect about you?"
"dead","adj.","A2","死的","The plant is dead.","What happens to dead leaves in nature?"
"deal","v.","A2","处理；交易","How do you deal with stress?","What problems do you deal with daily?"
"death","n.","A2","死亡","Death is part of life.","How do different cultures view death?"
"decision","n.","A2","决定","That was a good decision.","What's the hardest decision you've made?"
"deep","adj.","A2","深的","The lake is very deep.","What deep thoughts do you have?"
"definitely","adv.","A2","肯定地","I will definitely come to the party.","What are you definitely going to do this weekend?"
"degree","n.","A2","学位；程度","She has a degree in psychology.","What degree would you like to get?"
"dentist","n.","A2","牙医","I need to visit the dentist.","How often do you go to the dentist?"
"department","n.","A2","部门","Which department do you work in?","What department stores do you shop at?"
"depend","v.","A2","依靠；取决于","It depends on the weather.","What does your happiness depend on?"
"desert","n.","A2","沙漠","The desert is very hot and dry.","What animals live in the desert?"
"designer","n.","A2","设计师","The designer created beautiful clothes.","What type of designer would you like to be?"
"destroy","v.","A2","摧毁","The fire destroyed the building.","What can destroy friendships?"
"detective","n.","A2","侦探","The detective solved the mystery.","What skills does a detective need?"
"develop","v.","A2","发展；开发","We need to develop new skills.","What skills are you trying to develop?"
"device","n.","A2","设备；装置","This device helps you learn languages.","What devices do you use most often?"
"diary","n.","A2","日记","I write in my diary every night.","What would you write in a diary?"
"differently","adv.","A2","不同地","Everyone thinks differently.","What do you do differently from others?"
"digital","adj.","A2","数字的","We live in a digital world.","What digital skills are important today?"
"direct","adj.","A2","直接的","Take the direct route.","When do you prefer direct communication?"
"direction","n.","A2","方向","Which direction is the station?","What direction is your life going?"
"director","n.","A2","导演；主管","The director made a great film.","What makes a good director?"
"disagree","v.","A2","不同意","I disagree with your opinion.","What do you often disagree about with friends?"
"disappear","v.","A2","消失","The sun disappeared behind clouds.","What would you like to disappear from your life?"
"disaster","n.","A2","灾难","The earthquake was a terrible disaster.","What natural disasters happen in your area?"
"discover","v.","A2","发现","Scientists discovered a new planet.","What would you like to discover about yourself?"
"discovery","n.","A2","发现","The discovery changed everything.","What discovery has changed your life most?"
"discussion","n.","A2","讨论","We had an interesting discussion.","What topics do you enjoy discussing?"
"disease","n.","A2","疾病","Heart disease is very serious.","How can people prevent diseases?"
"distance","n.","A2","距离","The distance between cities is 200km.","What distance do you travel to work?"
"divorced","adj.","A2","离婚的","My parents are divorced.","How does divorce affect children?"
"document","n.","A2","文件","Please sign this document.","What documents do you need for travel?"
"double","adj.","A2","双倍的","The price is double what it was.","What would you like to double in your life?"
"download","v.","A2","下载","I downloaded a new app yesterday.","What do you download most often?"
"downstairs","adv.","A2","在楼下","The bathroom is downstairs.","What rooms are downstairs in your house?"
"drama","n.","A2","戏剧；冲突","I prefer comedy to drama.","What drama series do you watch?"
"drawing","n.","A2","绘画","This drawing is very beautiful.","What do you like drawing?"
"dream","n.","A2","梦想；梦","I had a strange dream last night.","What dream do you remember most clearly?"
"drive","v.","A2","开车","I learned to drive when I was 18.","What do you think about while driving?"
"driving","n.","A2","驾驶","Driving in the city is stressful.","What makes driving difficult?"
"drop","v.","A2","掉落；放弃","Don't drop the glass!","What habit would you like to drop?"
"drug","n.","A2","药物；毒品","This drug helps with pain.","What do you think about drug testing in sports?"
"dry","adj.","A2","干燥的","My skin gets very dry in winter.","What do you use when your hands are dry?"
"earn","v.","A2","赚取","I earn money by teaching.","How do you earn extra money?"
"earth","n.","A2","地球","We must protect the Earth.","What problems does Earth face today?"
"easily","adv.","A2","容易地","I can solve this problem easily.","What do you learn easily?"
"education","n.","A2","教育","Education is very important.","What changes would improve education?"
"effect","n.","A2","影响；效果","The medicine had a good effect.","What effect does music have on you?"
"either","adv.","A2","也（用于否定句）","I don't like it either.","What don't you like either?"
"electric","adj.","A2","电的","We have an electric car.","What electric appliances do you use daily?"
"electrical","adj.","A2","电气的","He's an electrical engineer.","What electrical problems have you had at home?"
"electricity","n.","A2","电力","The electricity went out during the storm.","How would your life change without electricity?"
"electronic","adj.","A2","电子的","I prefer electronic books.","What electronic devices do you depend on?"
"employ","v.","A2","雇用","The company employs 500 people.","What type of company would you like to employ you?"
"employee","n.","A2","员工","She's a hardworking employee.","What makes an employee valuable?"
"employer","n.","A2","雇主","My employer is very understanding.","What do you look for in an employer?"
"empty","adj.","A2","空的","The bottle is empty.","When do you feel empty inside?"
"ending","n.","A2","结尾","The movie has a happy ending.","What ending would you like for your story?"
"energy","n.","A2","能量","I have no energy today.","What gives you energy?"
"engine","n.","A2","引擎；发动机","The car engine is making noise.","What do you know about how engines work?"
"engineer","n.","A2","工程师","My brother is a software engineer.","What type of engineer would you like to be?"
"enormous","adj.","A2","巨大的","The elephant is enormous.","What enormous changes have happened in technology?"
"enter","v.","A2","进入","Please enter your password.","What do you need to enter to start your computer?"
"environment","n.","A2","环境","We must protect the environment.","What environmental problems worry you most?"
"equipment","n.","A2","设备","This gym has excellent equipment.","What equipment do you need for your hobbies?"
"error","n.","A2","错误","There's an error in this calculation.","What errors do you make when speaking English?"
"especially","adv.","A2","特别是","I love fruit, especially apples.","What do you especially enjoy about weekends?"
"essay","n.","A2","论文；短文","I need to write an essay about pollution.","What essay topics interest you?"
"everyday","adj.","A2","日常的","These are my everyday clothes.","What everyday activities do you find boring?"
"everywhere","adv.","A2","到处","There are flowers everywhere.","Where do you see advertisements everywhere?"
"evidence","n.","A2","证据","The police found evidence at the scene.","What evidence shows that exercise is good for you?"
"exact","adj.","A2","确切的","What's the exact time?","When do you need exact information?"
"exactly","adv.","A2","确切地","That's exactly what I meant.","What do you understand exactly about grammar?"
"excellent","adj.","A2","极好的","You did an excellent job!","What was your most excellent achievement?"
"except","prep.","A2","除了","Everyone came except John.","What do you like about winter except the cold?"
"exist","v.","A2","存在","Do aliens exist?","What problems exist in your community?"
"expect","v.","A2","期待；预期","I expect to finish by 5 PM.","What do you expect from a good friend?"
"experience","n.","A2","经历；经验","That was an amazing experience.","What experience changed your perspective?"
"experiment","n.","A2","实验","We did a chemistry experiment.","What experiment would you like to try?"
"expert","n.","A2","专家","She's an expert in languages.","What subject would you like to be an expert in?"
"explanation","n.","A2","解释","I need a clear explanation.","What explanation do you need about English grammar?"
"express","v.","A2","表达","It's hard to express my feelings.","How do you express creativity?"
"expression","n.","A2","表达；表情","He had a confused expression.","What expression do you make when you're thinking?"
"extreme","adj.","A2","极端的","That's an extreme reaction.","What extreme weather have you experienced?"
"extremely","adv.","A2","极其","I'm extremely tired today.","What are you extremely good at?"
"factor","n.","A2","因素","Price is an important factor.","What factors influence your decisions?"
"factory","n.","A2","工厂","My father works in a factory.","What do factories in your area produce?"
"fail","v.","A2","失败","I don't want to fail the exam.","What happens when you fail at something?"
"fair","adj.","A2","公平的","That's not fair!","What makes a competition fair?"
"fall","v.","A2","掉落；跌倒","Be careful not to fall down.","What season do leaves fall?"
"fan","n.","A2","粉丝；风扇","I'm a big fan of rock music.","What are you a fan of?"
"farm","n.","A2","农场","We visited a dairy farm.","What animals would you have on a farm?"
"farming","n.","A2","农业","Farming is hard work.","What do you know about modern farming?"
"fashion","n.","A2","时尚","She works in fashion.","What fashion trends do you follow?"
"fat","n.","A2","脂肪","This food contains too much fat.","What foods are high in fat?"
"fear","n.","A2","恐惧","I have a fear of heights.","What fear would you like to overcome?"
"feature","n.","A2","特征；功能","This phone has many features.","What features do you look for in a car?"
"feed","v.","A2","喂养","Please feed the cat.","What do you feed birds in winter?"
"female","adj.","A2","女性的","The female doctor was very kind.","What female leaders do you admire?"
"fiction","n.","A2","小说","I prefer fiction to non-fiction.","What fiction books have you read recently?"
"field","n.","A2","田地；领域","The cows are in the field.","What field of study interests you?"
"fight","v.","A2","打架；斗争","I don't like to fight.","What do you fight for in life?"
"figure","n.","A2","数字；人物","Can you check these figures?","What historical figure inspires you?"
"film","n.","A2","电影","We saw a great film last night.","What film genre do you prefer?"
"final","adj.","A2","最终的","This is my final answer.","What was your final decision about your career?"
"finally","adv.","A2","最终","I finally understood the problem.","What did you finally learn to do?"
"finger","n.","A2","手指","I cut my finger while cooking.","What do you use your fingers for besides typing?"
"finish","v.","A2","完成","When will you finish your work?","What project do you need to finish?"
"first","adv.","A2","首先","First, let me explain the rules.","What do you do first when you wake up?"
"firstly","adv.","A2","首先","Firstly, I'd like to thank everyone.","What would you change about your city, firstly?"
"fish","n.","A2","鱼","I caught three fish today.","What fish do you like to eat?"
"fishing","n.","A2","钓鱼","My grandfather loves fishing.","What do you think about while fishing?"
"fit","v.","A2","适合；健康","These shoes don't fit me.","What exercise helps you stay fit?"
"fix","v.","A2","修理","Can you fix my computer?","What things can you fix yourself?"
"flat","n.","A2","公寓","I live in a small flat.","What would you change about your flat?"
"flu","n.","A2","流感","I caught the flu last week.","How do you prevent getting the flu?"
"fly","v.","A2","飞行","Birds can fly in the sky.","Where would you like to fly to?"
"flying","n.","A2","飞行","I'm afraid of flying.","What do you think about when flying?"
"focus","n.","A2","焦点；专注","I need to focus on my studies.","What helps you maintain focus?"
"following","adj.","A2","下面的；接下来的","Please read the following instructions.","What following steps are important in cooking?"
"foreign","adj.","A2","外国的","I want to learn a foreign language.","What foreign countries interest you?"
"forest","n.","A2","森林","We walked through the forest.","What animals live in forests?"
"fork","n.","A2","叉子","Use a fork to eat the salad.","When do you use a fork instead of chopsticks?"
"formal","adj.","A2","正式的","This is a formal dinner.","When do you wear formal clothes?"
"fortunately","adv.","A2","幸运地","Fortunately, nobody was hurt.","What fortunately happened to you recently?"
"forward","adv.","A2","向前","Please move forward in line.","What are you looking forward to?"
"free","adj.","A2","免费的；自由的","The concert is free tonight.","What do you do in your free time?"
"fresh","adj.","A2","新鲜的","I love fresh fruit.","What fresh foods do you eat daily?"
"fridge","n.","A2","冰箱","Put the milk in the fridge.","What's in your fridge right now?"
"frog","n.","A2","青蛙","The frog jumped into the pond.","Where do you usually see frogs?"
"fun","n.","A2","乐趣","Learning can be fun.","What do you do for fun on weekends?"
"furniture","n.","A2","家具","We bought new furniture yesterday.","What furniture do you need most?"
"further","adv.","A2","更远；进一步","I can't walk any further.","What would you like to study further?"
"future","n.","A2","未来","I'm excited about the future.","What do you hope for in the future?"
"gallery","n.","A2","画廊","We visited an art gallery.","What type of gallery would you like to visit?"
"gap","n.","A2","缺口；差距","There's a gap between the buildings.","What gap exists in your knowledge?"
"gas","n.","A2","天然气；汽油","The car needs more gas.","How do you save gas when driving?"
"gate","n.","A2","大门","Close the gate behind you.","What's behind the gate of your home?"
"general","adj.","A2","一般的；普通的","In general, I like vegetables.","What general advice would you give students?"
"gift","n.","A2","礼物","Thank you for the birthday gift.","What's the best gift you've ever received?"
"goal","n.","A2","目标","My goal is to speak fluent English.","What's your biggest goal this year?"
"god","n.","A2","神；上帝","Many people believe in God.","What do different cultures think about god?"
"gold","n.","A2","黄金","This ring is made of gold.","What would you do if you found gold?"
"golf","n.","A2","高尔夫球","My father plays golf every weekend.","What do you think about golf as a sport?"
"good","adj.","A2","好的","This is a very good book.","What makes a good teacher?"
"government","n.","A2","政府","The government made new laws.","What should governments focus on most?"
"grass","n.","A2","草","The grass is very green.","When do you walk on grass?"
"greet","v.","A2","问候","Always greet your neighbors politely.","How do you greet people in your culture?"
"ground","n.","A2","地面","The ball fell to the ground.","What do you find on the ground in parks?"
"guest","n.","A2","客人","We have guests coming tonight.","How do you prepare for guests?"
"guide","n.","A2","导游；指南","The tour guide was very helpful.","What would you like a guide for?"
"gun","n.","A2","枪","Police officers carry guns.","What do you think about gun laws?"
"guy","n.","A2","家伙（非正式）","He's a really nice guy.","What makes a guy interesting to talk to?"
"habit","n.","A2","习惯","Reading before bed is my habit.","What good habit would you like to develop?"
"half","n.","A2","一半","I ate half of the pizza.","What do you do in the first half of the day?"
